CORRINHA;DRA LIVIA;EDUARDO XIMENES;bairro;Total_votos;Perc_CORRINHA;Perc_DRA LIVIA;Perc_EDUARDO XIMENES;Partido_CORRINHA;Partido_DRA LIVIA;Partido_EDUARDO XIMENES
146;692;3;DELMIRO GOUVEIA;841;17,36028537;82,28299643;0,356718193;PT;PSB;PP
593;1203;5;SEDE/AROEIRAS;1801;32,92615214;66,79622432;0,277623542;PT;PSB;PP
337;958;12;LAJINHA/SERROTA;1307;25,78423871;73,29762816;0,918133129;PT;PSB;PP
107;217;1;PASSA SEDE;325;32,92307692;66,76923077;0,307692308;PT;PSB;PP
91;353;0;DONATO;444;20,4954955;79,5045045;0;PT;PSB;PP
327;853;7;OTAVILANDIA/CROATA;1187;27,54844145;71,86183656;0,589721988;PT;PSB;PP
119;202;1;SANTO ANTONIO/TABOLEIRO;322;36,95652174;62,73291925;0,310559006;PT;PSB;PP
123;504;3;ANGICOS/MARRUAS DOS ROSAS;630;19,52380952;80;0,476190476;PT;PSB;PP
61;123;0;TIMBAUBA;184;33,15217391;66,84782609;0;PT;PSB;PP
192;286;8;OLHEIROS/PEDRA REDONDA;486;39,50617284;58,84773663;1,646090535;PT;PSB;PP
